epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,4853.32,1.17736,0.62089,0.86658,0.9847,0.9464,0.97937,0.67718,1.00719,0.54356,0.8367,0.0003665,0.0003665,0.0003665
167,4872.95,1.11383,0.57609,0.8479,0.96772,0.96507,0.98142,0.68105,0.99357,0.53733,0.83598,0.0003566,0.0003566,0.0003566
168,4892.75,1.16484,0.61222,0.84462,0.97033,0.96179,0.97882,0.6928,0.93266,0.52227,0.83038,0.0003467,0.0003467,0.0003467
169,4912.05,1.2724,0.64526,0.84745,0.96698,0.96691,0.98006,0.69778,0.93093,0.52362,0.83011,0.0003368,0.0003368,0.0003368
170,4931.88,1.22006,0.62422,0.85662,0.98114,0.95635,0.98162,0.69555,0.93535,0.52656,0.83116,0.0003269,0.0003269,0.0003269
171,4951.5,1.24816,0.63415,0.85549,0.97554,0.95294,0.9811,0.69022,0.94986,0.53177,0.83254,0.000317,0.000317,0.000317
172,4971.48,1.17941,0.61473,0.86202,0.97637,0.95588,0.98547,0.66944,1.00311,0.5462,0.83674,0.0003071,0.0003071,0.0003071
173,4991.61,1.20684,0.61895,0.85612,0.97928,0.95552,0.98556,0.67522,0.98958,0.54567,0.83471,0.0002972,0.0002972,0.0002972
174,5011.18,1.1861,0.61766,0.85719,0.97344,0.95772,0.98206,0.68727,0.95153,0.53575,0.83106,0.0002873,0.0002873,0.0002873
175,5030.82,1.16252,0.61102,0.8538,0.97828,0.95772,0.98232,0.69675,0.92872,0.52944,0.82832,0.0002774,0.0002774,0.0002774
176,5050.18,1.23327,0.62087,0.85177,0.97739,0.95376,0.98045,0.69255,0.92745,0.5233,0.82787,0.0002675,0.0002675,0.0002675
177,5073.92,1.21921,0.61567,0.84044,0.97546,0.94991,0.98047,0.69304,0.92857,0.52451,0.82796,0.0002576,0.0002576,0.0002576
178,5097.66,1.13728,0.59864,0.84802,0.97823,0.95037,0.98245,0.69085,0.93759,0.52337,0.82933,0.0002477,0.0002477,0.0002477
